Actual,Funk_Carioca,Gospel/Religioso,MPB_Bossa_Nova,Pagode_Samba,Pop,Rap_Hip_Hop,Regional_Sertanejo_Forró_Country,Rock_Pop/Rock_Rock_Alternativo
Funk_Carioca,495,21,13,39,3,38,175,38
Gospel/Religioso,5,6207,64,32,1,25,198,78
MPB_Bossa_Nova,9,91,1685,348,0,19,686,380
Pagode_Samba,21,59,350,986,4,9,805,73
Pop,24,95,112,39,4,21,221,180
Rap_Hip_Hop,26,50,22,21,0,913,79,94
Regional_Sertanejo_Forró_Country,53,233,313,205,2,6,6553,175
Rock_Pop/Rock_Rock_Alternativo,11,227,347,56,3,23,460,1113
